player_name,team_abbreviation,age,draft_number,gp,pts,reb,ast,umapX,umapY,ptsNorm,rebNorm,astNorm
Jerian Grant,NYK,23,19,76,5.6,1.9,2.3,5.2469954,3.74981,-0.486905802,-0.715379428,0.26998217
Jerryd Bayless,MIL,27,11,52,10.4,2.7,3.1,7.4624677,3.3439777,0.363160964,-0.382758566,0.725898845
Jimmer Fredette,SAS,27,10,6,1.5,0,0.2,0.15635684,6.493376,-1.213004497,-1.505353975,-0.926799103
Jimmy Butler,CHI,26,30,67,20.9,5.3,4.8,10.800091,4.015012,2.222682013,0.698259236,1.69472178
Joakim Noah,CHI,31,9,29,4.3,8.8,3.8,10.843035,7.8559756,-0.717132217,2.153475508,1.124825936
Jodie Meeks,DET,28,41,3,7.3,1.7,1,5.4675503,5.886237,-0.185840489,-0.798534643,-0.470882427
Joe Harris,CLE,24,33,5,0.6,0.6,0.4,-0.1970992,6.7900524,-1.372392016,-1.255888329,-0.812819934
Joe Ingles,UTA,28,Undrafted,81,4.2,1.9,1.2,4.156682,5.983965,-0.734841942,-0.715379428,-0.356903259
Joe Johnson,MIA,35,10,81,12.2,3.6,3.9,8.045435,3.3186796,0.681936001,-0.008560096,1.18181552
Joe Young,IND,24,43,41,3.8,1.2,1.6,3.806506,4.626196,-0.805680839,-1.006422682,-0.128944921
Joel Anthony,DET,33,Undrafted,19,0.9,1.1,0.1,-0.052859325,7.181171,-1.319262843,-1.04800029,-0.983788687
Zach Randolph,MEM,34,19,68,15.3,7.8,2.1,11.523735,5.7993307,1.230937453,1.73769943,0.156003001
Jeremy Lin,CHA,27,Undrafted,78,11.7,3.2,3,7.8510647,3.4223583,0.593387379,-0.174870527,0.668909261
DeMar DeRozan,TOR,26,9,78,23.5,4.5,4,10.701763,4.001954,2.683134844,0.365638374,1.238805105
Jared Sullinger,BOS,24,21,81,10.3,8.3,2.3,11.046303,7.677009,0.345451239,1.945587469,0.26998217
Jared Cunningham,CLE,25,24,44,2.7,0.9,0.5,1.3732014,6.475451,-1.000487806,-1.131155505,-0.755830349
Ian Clark,GSW,25,Undrafted,66,3.6,1,1,3.253783,5.4271746,-0.841100287,-1.089577898,-0.470882427
Ian Mahinmi,IND,29,28,71,9.3,7.1,1.5,10.609291,7.615424,0.168353997,1.446656176,-0.185934505
Iman Shumpert,CLE,26,17,54,5.8,3.8,1.7,7.5121183,7.5876737,-0.451486353,0.07459512,-0.071955337
Isaiah Canaan,PHI,25,34,77,11,2.3,1.8,7.1618915,5.0599165,0.469419309,-0.549068997,-0.014965752
Isaiah Thomas,BOS,27,60,82,22.2,3,6.2,10.880552,3.3948634,2.452908428,-0.258025742,2.492575961
Ish Smith,PHI,27,Undrafted,77,12.6,4,6.5,10.321086,2.6892986,0.752774898,0.157750335,2.663544714
J.J. Barea,DAL,32,Undrafted,74,10.9,2.1,4.1,7.8777747,2.9053605,0.451709585,-0.632224212,1.295794689
JJ Hickson,WAS,27,19,35,5.9,3.8,0.7,6.892683,8.392108,-0.433776629,0.07459512,-0.641851181
JJ O'Brien,UTA,24,Undrafted,2,0,0.5,0,-0.3014986,6.6630545,-1.478650361,-1.297465936,-1.040778271
JJ Redick,LAC,32,11,75,16.3,1.9,1.4,8.809705,4.7767963,1.408034696,-0.715379428,-0.24292409
JR Smith,CLE,30,18,77,12.4,2.8,1.7,8.382799,5.373337,0.717355449,-0.341180958,-0.071955337
JaKarr Sampson,DEN,23,Undrafted,73,5.1,2.6,0.6,4.99211,7.241533,-0.575454423,-0.424336173,-0.698840765
Jared Dudley,WAS,30,22,81,7.9,3.5,2.1,6.9047794,4.4881077,-0.079582143,-0.050137703,0.156003001
JaMychal Green,MEM,26,Undrafted,78,7.4,4.8,0.9,8.589973,8.0919895,-0.168130765,0.490371197,-0.527872012
Jabari Parker,MIL,21,2,76,14.1,5.2,1.7,10.061098,6.1717644,1.018420762,0.656681629,-0.071955337
Jae Crowder,BOS,25,34,73,14.2,5.1,1.8,10.045324,6.195785,1.036130486,0.615104021,-0.014965752
Jahlil Okafor,PHI,20,3,53,17.5,7,1.2,11.287617,5.7836423,1.620551387,1.405078568,-0.356903259
Jamal Crawford,LAC,36,8,79,14.2,1.8,2.3,8.846701,4.658736,1.036130486,-0.756957035,0.26998217
Jameer Nelson,DEN,34,20,39,7.7,2.9,4.9,7.0279756,2.674337,-0.115001592,-0.29960335,1.751711364
James Anderson,SAC,27,20,51,3.5,1.7,0.8,2.946644,6.0869904,-0.858810012,-0.798534643,-0.584861596
James Ennis III,NOP,25,50,22,7.2,1.9,1,5.487896,5.964884,-0.203550213,-0.715379428,-0.470882427
James Harden,HOU,26,3,82,29,6.1,7.5,11.007342,3.5408576,3.657169679,1.030880098,3.233440558
James Johnson,TOR,29,16,57,5,2.2,1.2,4.662173,6.14051,-0.593164147,-0.590646604,-0.356903259
James Jones,CLE,35,49,48,3.7,1,0.3,1.6643701,6.369876,-0.823390563,-1.089577898,-0.869809518
James Michael McAdoo,GSW,23,Undrafted,41,2.9,1.4,0.4,2.0285342,6.447331,-0.965068357,-0.923267467,-0.812819934
James Young,BOS,20,17,29,1,0.9,0.3,-0.17707518,7.047458,-1.301553118,-1.131155505,-0.869809518
JaVale McGee,DAL,28,18,34,5.1,3.9,0.1,5.7798,8.827791,-0.575454423,0.116172728,-0.983788687
DeJuan Blair,WAS,27,37,29,2.1,2,0.4,2.2803195,7.4383597,-1.106746151,-0.67380182,-0.812819934
DeAndre Jordan,LAC,27,35,77,12.7,13.8,1.2,11.958962,6.6772943,0.770484622,4.232355896,-0.356903259
David West,SAS,35,18,78,7.1,4,1.8,7.7806377,7.4861026,-0.221259938,0.157750335,-0.014965752
Andre Drummond,DET,22,9,81,16.2,14.8,0.8,11.957387,6.591365,1.390324972,4.648131974,-0.584861596
Andre Iguodala,GSW,32,9,65,7,4,3.4,7.3663764,3.5704587,-0.238969662,0.157750335,0.896867598
Andre Miller,SAS,40,8,39,3.7,1.3,2.2,4.8689413,3.9072132,-0.823390563,-0.964845074,0.212992585
Andre Roberson,OKC,24,26,70,4.8,3.6,0.7,5.8587403,8.437724,-0.628583596,-0.008560096,-0.641851181
Andrea Bargnani,BKN,30,1,46,6.6,2.1,0.4,5.2825923,6.5461116,-0.309808559,-0.632224212,-0.812819934
Andrew Bogut,GSW,31,1,70,5.4,7,2.3,10.709586,7.9365697,-0.52232525,1.405078568,0.26998217
Andrew Goudelock,HOU,27,46,8,2.8,0.3,0.5,0.99633986,6.4501514,-0.982778081,-1.380621152,-0.755830349
Andrew Nicholson,ORL,26,19,56,6.9,3.6,0.4,6.6863823,8.204717,-0.256679386,-0.008560096,-0.812819934
Andrew Wiggins,MIN,21,1,81,20.7,3.6,2,9.344669,4.7775145,2.187262564,-0.008560096,0.099013417
Anthony Bennett,TOR,23,1,19,1.5,1.2,0,0.012157836,7.1974177,-1.213004497,-1.006422682,-1.040778271
Anthony Brown,LAL,23,34,29,4,2.4,0.7,4.172681,7.2444186,-0.77026139,-0.507491389,-0.641851181
Anthony Davis,NOP,23,1,61,24.3,10.3,1.9,11.960391,5.715727,2.824812638,2.777139625,0.042023832
Anderson Varejao,GSW,33,30,53,2.6,2.7,0.7,3.8923464,7.832542,-1.01819753,-0.382758566,-0.641851181
Anthony Morrow,OKC,30,Undrafted,68,5.6,0.9,0.4,3.3295827,5.8754044,-0.486905802,-1.131155505,-0.812819934
Archie Goodwin,PHX,21,29,57,8.9,2.5,2.1,6.8117085,4.608502,0.097515099,-0.465913781,0.156003001
Aron Baynes,DET,29,Undrafted,81,6.3,4.7,0.6,8.277361,8.65603,-0.362937732,0.44879359,-0.698840765
Arron Afflalo,NYK,30,27,71,12.8,3.7,2,8.766133,5.4394627,0.788194346,0.033017512,0.099013417
Austin Rivers,LAC,23,10,67,8.9,1.9,1.5,6.629903,5.4847775,0.097515099,-0.715379428,-0.185934505
Avery Bradley,BOS,25,19,76,15.2,2.9,2.1,8.913539,4.864325,1.213227729,-0.29960335,0.156003001
Axel Toupane,DEN,23,Undrafted,21,3.6,1.5,0.7,2.986318,5.9787164,-0.841100287,-0.881689859,-0.641851181
Ben McLemore,SAC,23,7,68,7.8,2.2,1.2,6.0506163,5.838926,-0.097291868,-0.590646604,-0.356903259
Beno Udrih,MEM,33,28,44,4.7,1.6,2.6,5.329942,3.5750375,-0.64629332,-0.840112251,0.440950923
Bismack Biyombo,TOR,23,7,82,5.5,8,0.4,10.831998,7.502732,-0.504615526,1.820854646,-0.812819934
Blake Griffin,LAC,27,1,35,21.4,8.4,4.9,11.483255,4.6023946,2.311230634,1.987165077,1.751711364
Boban Marjanovic,SAS,27,Undrafted,54,5.5,3.6,0.4,6.124156,8.585749,-0.504615526,-0.008560096,-0.812819934
Bobby Portis,CHI,21,22,62,7,5.4,0.8,8.81908,8.487845,-0.238969662,0.739836844,-0.584861596
Anthony Tolliver,DET,31,Undrafted,72,5.3,3.2,0.7,5.8295455,7.7661557,-0.540034975,-0.174870527,-0.641851181
Bojan Bogdanovic,BKN,27,31,79,11.2,3.2,1.3,7.8606462,6.019213,0.504838758,-0.174870527,-0.299913674
Amir Johnson,BOS,29,56,79,7.3,6.4,1.7,10.458097,7.8441806,-0.185840489,1.155612922,-0.071955337
Alonzo Gee,NOP,29,Undrafted,73,4.5,3.4,1,6.0289307,8.183429,-0.681712769,-0.091715311,-0.470882427
Jordan Hamilton,NOP,25,26,11,11.4,5.6,2.3,10.00115,6.4457455,0.540258206,0.82299206,0.26998217
Jordan Farmar,MEM,29,26,12,9.2,2.1,3.1,6.956582,3.4811523,0.150644272,-0.632224212,0.725898845
Jordan Clarkson,LAL,24,46,79,15.5,4,2.4,9.12342,4.994737,1.266356902,0.157750335,0.326971754
Jordan Adams,MEM,21,22,2,3.5,1,1.5,3.7127986,4.6999803,-0.858810012,-1.089577898,-0.185934505
Jonathon Simmons,SAS,26,Undrafted,55,6,1.7,1.1,4.9269676,5.845614,-0.416066905,-0.798534643,-0.413892843
Jonas Valanciunas,TOR,24,5,60,12.8,9.1,0.7,11.533417,6.7585893,0.788194346,2.278208331,-0.641851181
Jonas Jerebko,BOS,29,39,78,4.4,3.7,0.8,5.7342386,8.40962,-0.699422493,0.033017512,-0.584861596
Jon Leuer,PHX,27,40,67,8.5,5.6,1.1,9.393333,7.8429184,0.026676202,0.82299206,-0.413892843
Johnny O'Bryant III,MIL,23,36,66,3,2.7,0.5,3.7855332,7.6482854,-0.947358633,-0.382758566,-0.755830349
John Wall,WAS,25,1,77,19.9,4.9,10.2,10.773195,2.9341447,2.04558477,0.531948805,4.772159337
John Jenkins,PHX,25,23,43,4.1,1.3,0.8,3.2253046,5.765551,-0.752551666,-0.964845074,-0.584861596
John Henson,MIL,25,14,57,7,3.9,0.9,7.1206393,8.164218,-0.238969662,0.116172728,-0.527872012
Amar'e Stoudemire,MIA,33,9,52,5.8,4.3,0.5,7.721941,8.658995,-0.451486353,0.282483159,-0.755830349
Joffrey Lauvergne,DEN,24,55,59,7.9,4.9,0.9,8.785578,7.8924775,-0.079582143,0.531948805,-0.527872012
Aaron Harrison,CHA,21,Undrafted,21,0.9,0.7,0.1,-0.22538818,6.85224,-1.319262843,-1.214310721,-0.983788687
Adreian Payne,MIN,25,15,52,2.5,2.1,0.6,2.6748114,7.0393667,-1.035907254,-0.632224212,-0.698840765
Al Horford,ATL,30,3,82,15.2,7.3,3.2,11.509584,5.3036256,1.213227729,1.529811392,0.782888429
Al Jefferson,CHA,31,15,47,12,6.4,1.5,10.641366,6.748384,0.646516552,1.155612922,-0.185934505
Al-Farouq Aminu,POR,25,8,82,10.2,6.1,1.7,10.383199,7.083538,0.327741515,1.030880098,-0.071955337
Alan Anderson,WAS,33,Undrafted,13,5,2.1,1.1,4.545253,6.1241665,-0.593164147,-0.632224212,-0.413892843
Alan Williams,PHX,23,Undrafted,10,2.9,3.8,0.5,5.315245,8.703393,-0.965068357,0.07459512,-0.755830349
Alec Burks,UTA,24,12,31,13.3,3.5,2,8.675675,5.3062963,0.876742968,-0.050137703,0.099013417
Alex Len,PHX,23,5,78,9,7.6,1.2,10.693177,7.57128,0.115224824,1.654544215,-0.356903259
Alex Stepheson,MEM,28,Undrafted,8,2.8,3.5,0.3,5.3196673,8.742063,-0.982778081,-0.050137703,-0.869809518
Alexis Ajinca,NOP,28,20,59,6,4.6,0.5,8.099544,8.7237,-0.416066905,0.407215982,-0.755830349
Allen Crabbe,POR,24,31,81,10.3,2.7,1.2,7.2613034,5.864112,0.345451239,-0.382758566,-0.356903259
Aaron Gordon,ORL,20,4,78,9.2,6.5,1.6,10.505565,7.692469,0.150644272,1.197190529,-0.128944921
Jordan McRae,CLE,25,58,22,4.5,0.9,1.1,3.3980615,5.370631,-0.681712769,-1.131155505,-0.413892843
Boris Diaw,SAS,34,21,76,6.4,3.1,2.3,6.8966064,4.326043,-0.345228007,-0.216448135,0.26998217
Brandan Wright,MEM,28,8,12,6.9,3.6,0.5,6.66304,8.133958,-0.256679386,-0.008560096,-0.755830349
Christian Wood,PHI,20,Undrafted,17,3.6,2.2,0.2,3.0786154,7.402467,-0.841100287,-0.590646604,-0.926799103
Chuck Hayes,LAC,33,Undrafted,2,2,4,1,5.385328,8.599313,-1.124455876,0.157750335,-0.470882427
Cleanthony Early,NYK,25,34,17,1.8,1.5,0.4,1.8432512,7.2550697,-1.159875324,-0.881689859,-0.812819934
Cliff Alexander,POR,20,Undrafted,8,1.3,0.8,0,-0.0417437,6.8751926,-1.248423946,-1.172733113,-1.040778271
Clint Capela,HOU,22,25,77,7,6.4,0.6,9.538552,8.221357,-0.238969662,1.155612922,-0.698840765
Cody Zeller,CHA,23,4,73,8.7,6.2,1,9.828107,7.8172774,0.062095651,1.072457706,-0.470882427
Cole Aldrich,LAC,27,11,60,5.5,4.8,0.8,8.371316,8.698183,-0.504615526,0.490371197,-0.584861596
Corey Brewer,HOU,30,7,82,7.2,2.4,1.3,5.869204,5.737994,-0.203550213,-0.507491389,-0.299913674
Cory Jefferson,PHX,25,60,8,2.8,2,0,2.3747852,7.6718073,-0.982778081,-0.67380182,-1.040778271
Cory Joseph,TOR,24,29,80,8.5,2.6,3.1,7.0465894,3.4278648,0.026676202,-0.424336173,0.725898845
Coty Clarke,BOS,23,Undrafted,3,2,0.3,0,0.40069097,6.544616,-1.124455876,-1.380621152,-1.040778271
Courtney Lee,CHA,30,22,79,9.6,2.6,1.7,7.0152426,5.028216,0.221483169,-0.424336173,-0.071955337
Chris Paul,LAC,31,4,74,19.5,4.2,10,10.74704,2.8992667,1.974745873,0.240905551,4.658180168
Cristiano Felicio,CHI,23,Undrafted,31,3.4,3.3,0.8,5.2612286,8.351964,-0.876519736,-0.133292919,-0.584861596
D.J. Augustin,DEN,28,9,62,7.5,1.5,3.2,6.3700886,3.2643123,-0.15042104,-0.881689859,0.782888429
Dahntay Jones,CLE,35,20,1,13,5,2,9.996639,6.2362976,0.823613795,0.573526413,0.099013417
Damian Lillard,POR,25,6,75,25.1,4,6.8,10.960758,3.504199,2.966490432,0.157750335,2.834513468
Damien Inglis,MIL,21,31,20,1.8,1.6,0.5,1.893075,7.2023315,-1.159875324,-0.840112251,-0.755830349
Damjan Rudez,MIN,30,Undrafted,33,2.3,0.6,0.3,0.9702844,6.536474,-1.071326703,-1.255888329,-0.869809518
Danilo Gallinari,DEN,27,6,53,19.5,5.3,2.5,11.163759,5.279374,1.974745873,0.698259236,0.383961339
Danny Green,SAS,29,46,79,7.2,3.8,1.8,7.7870636,7.454565,-0.203550213,0.07459512,-0.014965752
Dante Cunningham,NOP,29,33,80,6.1,3,1,5.9917407,7.2863536,-0.39835718,-0.258025742,-0.470882427
Darrell Arthur,DEN,28,27,70,7.5,4.2,1.4,8.236905,7.583307,-0.15042104,0.240905551,-0.24292409
Darren Collison,SAC,28,21,74,14,2.3,4.3,8.951611,3.0668414,1.000711038,-0.549068997,1.409773858
Darrun Hilliard,DET,23,38,38,4,1.2,0.7,3.1310294,5.780373,-0.77026139,-1.006422682,-0.641851181
David Lee,DAL,33,30,55,7.8,5.5,1.5,9.2667,7.9753795,-0.097291868,0.781414452,-0.185934505
D'Angelo Russell,LAL,20,2,80,13.2,3.4,3.3,8.254687,3.5854006,0.859033243,-0.091715311,0.839878014
Bradley Beal,WAS,23,3,55,17.4,3.4,2.9,9.225498,4.6469398,1.602841663,-0.091715311,0.611919676
Chris McCullough,BKN,21,29,24,4.7,2.8,0.4,5.0905623,7.518676,-0.64629332,-0.341180958,-0.812819934
Chris Johnson,UTA,26,Undrafted,70,2.9,1.9,0.6,2.7559583,6.627683,-0.965068357,-0.715379428,-0.698840765
Branden Dawson,LAC,23,56,6,0.8,0.7,0,-0.22276531,6.840799,-1.336972567,-1.214310721,-1.040778271
Brandon Bass,LAL,31,33,66,7.2,4.3,1.1,8.183579,7.744073,-0.203550213,0.282483159,-0.413892843
Brandon Jennings,ORL,26,10,48,6.9,2,3.5,6.38199,3.0986352,-0.256679386,-0.67380182,0.953857183
Brandon Knight,PHX,24,8,52,19.6,3.9,5.1,10.676724,3.8384576,1.992455597,0.116172728,1.865690533
Brandon Rush,GSW,30,13,72,4.2,2.5,0.8,4.4228835,7.096718,-0.734841942,-0.465913781,-0.584861596
Briante Weber,MIA,23,Undrafted,7,4.4,3.6,3,6.8765593,3.8962421,-0.699422493,-0.008560096,0.668909261
Brook Lopez,BKN,28,10,73,20.6,7.8,2,11.545877,5.5435624,2.16955284,1.73769943,0.099013417
Bruno Caboclo,TOR,20,20,6,0.5,0.3,0.2,-0.09840874,6.5433946,-1.39010174,-1.380621152,-0.926799103
Bryce Cotton,MEM,23,Undrafted,8,1,0,0.4,0.12436167,6.4793158,-1.301553118,-1.505353975,-0.812819934
Bryce Dejean-Jones,NOP,23,Undrafted,14,5.6,3.4,1.1,6.198453,7.742394,-0.486905802,-0.091715311,-0.413892843
C.J. Watson,ORL,32,Undrafted,33,4.3,2,2.7,5.4869356,3.4760597,-0.717132217,-0.67380182,0.497940507
CJ McCollum,POR,24,10,80,20.8,3.2,4.3,10.560542,3.916019,2.204972288,-0.174870527,1.409773858
Chris Kaman,POR,34,6,16,2.8,1.5,0.7,2.5707524,6.0794134,-0.982778081,-0.881689859,-0.641851181
CJ Miles,IND,29,34,64,11.8,2.7,1,7.557813,5.9167333,0.611097103,-0.382758566,-0.470882427
Cameron Bairstow,DET,25,49,18,1.9,1.6,0.3,1.8281255,7.292622,-1.1421656,-0.840112251,-0.869809518
Cameron Payne,OKC,21,14,57,5,1.5,1.9,4.990321,4.0595717,-0.593164147,-0.881689859,0.042023832
Carl Landry,PHI,32,31,36,9.8,4.1,0.9,8.318732,6.9617105,0.256902618,0.199327943,-0.527872012
Carmelo Anthony,NYK,32,3,72,21.8,7.7,4.2,11.482756,4.7493715,2.382069531,1.696121823,1.352784273
Caron Butler,SAC,36,10,17,3.7,1.3,0.6,2.920895,5.9480877,-0.823390563,-0.964845074,-0.698840765
Chandler Parsons,DAL,27,38,61,13.7,4.7,2.8,9.87236,5.8940196,0.947581865,0.44879359,0.554930092
Channing Frye,CLE,33,8,70,6.1,3.3,1,6.1772666,7.5270824,-0.39835718,-0.133292919,-0.470882427
Charlie Villanueva,DAL,31,7,62,5.1,2.5,0.4,5.0370955,7.2857637,-0.575454423,-0.465913781,-0.812819934
Chase Budinger,PHX,28,44,66,4.1,2.3,1,4.375817,6.7940063,-0.752551666,-0.549068997,-0.470882427
Chris Andersen,MEM,37,Undrafted,27,3.9,3.6,0.4,5.411993,8.713662,-0.787971114,-0.008560096,-0.812819934
Chris Bosh,MIA,32,4,53,19.1,7.4,2.4,11.572801,5.492138,1.903906976,1.571388999,0.326971754
Chris Copeland,MIL,32,Undrafted,24,2.1,0.4,0.5,0.9946136,6.4368906,-1.106746151,-1.339043544,-0.755830349
CJ Wilcox,LAC,25,28,23,3,0.5,0.4,1.071381,6.466243,-0.947358633,-1.297465936,-0.812819934
Zaza Pachulia,DAL,32,42,76,8.6,9.4,1.7,11.395388,7.254845,0.044385927,2.402941155,-0.071955337
Monta Ellis,IND,30,40,81,13.8,3.3,4.7,9.566867,2.9976332,0.965291589,-0.133292919,1.637732195
