player_name,team_abbreviation,age,draft_number,gp,pts,reb,ast,umapX,umapY,ptsNorm,rebNorm,astNorm
Tony Snell,CHI,24,20,64,5.3,3.1,1,6.1062546,7.5969253,-0.540034975,-0.216448135,-0.470882427
Zach LaVine,MIN,21,13,82,14,2.8,3.1,8.843182,4.380264,1.000711038,-0.341180958,0.725898845
Xavier Munford,MEM,24,Undrafted,14,5.7,2.2,1.6,5.158313,5.5191936,-0.469196077,-0.590646604,-0.128944921
Willie Reed,BKN,26,Undrafted,39,4.7,3.1,0.3,5.43958,7.9691663,-0.64629332,-0.216448135,-0.869809518
Willie Cauley-Stein,SAC,22,6,66,7,5.3,0.6,8.716586,8.615138,-0.238969662,0.698259236,-0.698840765
Will Barton,DEN,25,40,82,14.4,5.8,2.5,10.191368,6.0627847,1.071549935,0.906147275,0.383961339
Wesley Matthews,DAL,29,Undrafted,78,12.5,3.1,1.9,8.595859,5.3992176,0.735065173,-0.216448135,0.042023832
Wesley Johnson,LAC,28,4,80,6.9,3.1,0.6,6.032981,7.365384,-0.256679386,-0.216448135,-0.698840765
Wayne Ellington,BKN,28,28,76,7.7,2.3,1.1,6.035833,5.9002633,-0.115001592,-0.549068997,-0.413892843
Vince Carter,MEM,39,5,60,6.6,2.4,0.9,5.6732006,6.6251235,-0.309808559,-0.507491389,-0.527872012
Victor Oladipo,ORL,24,2,72,16,4.8,3.9,10.490819,4.094117,1.354905523,0.490371197,1.18181552
Udonis Haslem,MIA,36,Undrafted,37,1.6,2,0.4,2.1359644,7.4004164,-1.195294773,-0.67380182,-0.812819934
Tyus Jones,MIN,20,24,37,4.2,1.3,2.9,5.4885354,3.4164162,-0.734841942,-0.964845074,0.611919676
Tony Parker,SAS,34,28,72,11.9,2.4,5.3,9.740637,2.7452664,0.628806828,-0.507491389,1.979669702
Tyson Chandler,PHX,33,2,66,7.2,8.7,1,11.098121,7.4645505,-0.203550213,2.1118979,-0.470882427
Tyler Zeller,BOS,26,17,60,6.1,3,0.5,5.607629,7.5030074,-0.39835718,-0.258025742,-0.755830349
Tyler Johnson,MIA,24,Undrafted,36,8.7,3,2.2,6.8298254,4.479463,0.062095651,-0.258025742,0.212992585
Tyler Hansbrough,CHA,30,13,44,2.4,2,0.2,2.3509328,7.6122336,-1.053616979,-0.67380182,-0.926799103
Tyler Ennis,MIL,21,18,46,4.5,1.6,2.1,4.987821,3.9269161,-0.681712769,-0.840112251,0.156003001
Ty Lawson,IND,28,18,66,5.7,1.8,3.6,6.26484,3.050032,-0.469196077,-0.756957035,1.010846767
Troy Daniels,CHA,24,Undrafted,43,5.6,1.3,0.5,3.5509017,5.9611063,-0.486905802,-0.964845074,-0.755830349
Tristan Thompson,CLE,25,4,82,7.8,9,0.8,11.130658,7.431177,-0.097291868,2.236630724,-0.584861596
Trey Lyles,UTA,20,12,80,6.1,3.7,0.7,6.6997814,8.191123,-0.39835718,0.033017512,-0.641851181
Trey Burke,UTA,23,9,64,10.6,1.8,2.3,6.9223285,4.72659,0.398580412,-0.756957035,0.26998217
Trevor Booker,UTA,28,23,79,5.9,5.7,1.1,8.891853,8.467407,-0.433776629,0.864569667,-0.413892843
Trevor Ariza,HOU,31,43,81,12.7,4.5,2.3,9.781408,6.032684,0.770484622,0.365638374,0.26998217
Tony Wroten,NYK,23,25,8,8.4,2.6,2.5,6.851869,4.080973,0.008966478,-0.424336173,0.383961339
Tyreke Evans,NOP,26,4,25,15.2,5.2,6.6,10.40597,2.9008725,1.213227729,0.656681629,2.720534299
Omri Casspi,SAC,28,23,69,11.8,5.9,1.4,10.421677,6.7247167,0.611097103,0.947724883,-0.24292409
Solomon Hill,IND,25,23,59,4.2,2.8,1,4.3951006,7.154082,-0.734841942,-0.341180958,-0.470882427
Shayne Whittington,IND,25,Undrafted,7,1.6,1.7,0.4,1.9157923,7.2615676,-1.195294773,-0.798534643,-0.812819934
Reggie Jackson,DET,26,24,79,18.8,3.2,6.2,10.566615,3.221098,1.850777803,-0.174870527,2.492575961
Reggie Bullock,DET,25,25,37,3.3,1.8,0.7,2.7895336,6.228132,-0.89422946,-0.756957035,-0.641851181
Raymond Felton,DAL,32,5,80,9.5,3.2,3.6,7.602959,3.1972353,0.203773445,-0.174870527,1.010846767
Ray McCallum,SAS,25,36,41,3.3,1.1,1.5,3.6432796,4.753422,-0.89422946,-1.04800029,-0.185934505
Raul Neto,UTA,24,47,81,5.9,1.5,2.1,5.1685214,3.8475547,-0.433776629,-0.881689859,0.156003001
Rasual Butler,SAS,37,52,46,2.7,1.2,0.5,1.8307221,6.413234,-1.000487806,-1.006422682,-0.755830349
Rashad Vaughn,MIL,19,17,70,3.1,1.3,0.6,2.4889097,6.138847,-0.929648909,-0.964845074,-0.698840765
Randy Foye,OKC,32,7,81,5.9,1.9,2,5.171241,3.9425538,-0.433776629,-0.715379428,0.099013417
Ramon Sessions,WAS,30,56,82,9.9,2.5,2.9,7.0444913,3.568533,0.274612342,-0.465913781,0.611919676
Rakeem Christmas,IND,24,36,1,4,1,0,1.5854696,6.4317875,-0.77026139,-1.089577898,-1.040778271
Rajon Rondo,SAC,30,21,72,11.9,6,11.7,10.708863,2.8812604,0.628806828,0.989302491,5.627003103
