LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2022-05-01 20:38:50,1900-01-00 00:00:00,,14:7D:DA:5B:43:06,-43,,0.000000,0.000000,0.000,0.000,Client
2022-05-01 20:38:50,1900-01-00 00:00:00,,54:3D:37:3D:81:18,-57, ,0.000000,0.000000,0.000,0.000,AP
2022-05-01 20:38:50,1900-01-00 00:00:00,,54:3D:37:3D:81:18,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-05-01 20:38:50,1900-01-00 00:00:00,,54:3D:37:3D:81:18,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-05-01 20:38:50,1900-01-00 00:00:00,,54:3D:37:3D:81:18,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-05-01 20:38:50,1900-01-00 00:00:00,,54:3D:37:3D:81:18,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-05-01 20:38:50,1900-01-00 00:00:00,,54:3D:37:3D:81:18,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-05-01 20:38:50,1900-01-00 00:00:00,,54:3D:37:3D:81:18,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-05-01 20:38:50,1900-01-00 00:00:00,,54:3D:37:3D:81:18,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-05-01 20:38:50,1900-01-00 00:00:00,,54:3D:37:3D:81:18,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-05-01 20:38:50,1900-01-00 00:00:00,,14:7D:DA:5B:43:06,-42,,0.000000,0.000000,0.000,0.000,Client
2022-05-01 20:38:50,1900-01-00 00:00:00,,14:7D:DA:5B:43:06,-42,,0.000000,0.000000,0.000,0.000,Client
2022-05-01 20:38:50,1900-01-00 00:00:00,,14:7D:DA:5B:43:06,-42,,0.000000,0.000000,0.000,0.000,Client
2022-05-01 20:38:50,1900-01-00 00:00:00,,14:7D:DA:5B:43:06,-43,,0.000000,0.000000,0.000,0.000,Client
2022-05-01 20:38:50,1900-01-00 00:00:00,,14:7D:DA:5B:43:06,-41,,0.000000,0.000000,0.000,0.000,Client
2022-05-01 20:38:50,1900-01-00 00:00:00,,54:3D:37:3D:81:18,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-05-01 20:38:50,1900-01-00 00:00:00,,54:3D:37:3D:81:18,-59, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-05-01 20:38:50,1900-01-00 00:00:00,,54:3D:37:3D:81:18,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-05-01 20:38:50,1900-01-00 00:00:00,,14:7D:DA:5B:43:06,-42,,0.000000,0.000000,0.000,0.000,Client
